left,bottom,right,top,lon,lat,학교,도서관,문화시설,주민자치센터,체육시설,민원행정기관,cctv,주차장
937200,1953600,937500,1953900,126.7904474,37.58100598,0,0,0,0,0,0,0,0
937500,1953600,937800,1953900,126.7938449,37.58102635,0,0,0,0,0,0,0,0
937500,1953900,937800,1954200,126.7938193,37.58373021,0,0,0,0,0,0,0,0
937500,1954200,937800,1954500,126.7937938,37.58643406,0,0,0,0,0,0,0,0
937800,1954500,938100,1954800,126.7971661,37.5891582,0,0,0,0,0,0,0,0
937800,1954800,938100,1955100,126.7971407,37.59186205,0,0,0,0,0,0,0,0
937800,1955100,938100,1955400,126.7971152,37.5945659,0,0,0,0,0,0,0,0
937800,1955400,938100,1955700,126.7970898,37.59726976,0,0,0,0,0,0,0,0
937800,1955700,938100,1956000,126.7970643,37.59997361,0,0,0,0,0,0,0,0
938100,1951500,938400,1951800,126.8008168,37.56213975,0,0,0,0,0,0,0,0
938100,1955100,938400,1955400,126.8005133,37.59458609,0,0,0,0,0,0,0,0
938100,1955400,938400,1955700,126.800488,37.59728995,0,0,0,0,0,0,0,0
938100,1955700,938400,1956000,126.8004627,37.5999938,0,0,0,0,0,0,0,0
938400,1951200,938700,1951500,126.8042385,37.55945594,0,0,0,0,0,1,2,0
938400,1951500,938700,1951800,126.8042134,37.56215981,0,0,0,0,0,0,1,0
938400,1951800,938700,1952100,126.8041882,37.56486369,0,0,1,0,0,0,0,0
938400,1952100,938700,1952400,126.8041631,37.56756755,1,0,0,0,0,0,0,0
938400,1955100,938700,1955400,126.8039114,37.59460618,0,0,0,0,0,0,0,0
938400,1955400,938700,1955700,126.8038862,37.59731004,0,0,0,0,1,0,0,0
938700,1950900,939000,1951200,126.80766,37.55677203,0,0,0,0,0,0,0,1
938700,1951200,939000,1951500,126.807635,37.55947591,0,0,0,0,0,0,0,18
938700,1951500,939000,1951800,126.80761,37.56217978,0,0,0,0,0,1,0,17
938700,1951800,939000,1952100,126.807585,37.56488366,1,0,0,0,0,1,0,70
938700,1952100,939000,1952400,126.8075599,37.56758753,1,1,0,1,0,2,1,41
938700,1952400,939000,1952700,126.8075349,37.5702914,0,0,0,0,0,1,0,33
939000,1944000,939300,1944300,126.8116281,37.49460238,0,0,0,0,0,0,0,0
939000,1950600,939300,1950900,126.8110813,37.55408802,0,0,0,0,0,0,0,0
939000,1950900,939300,1951200,126.8110564,37.5567919,0,0,0,0,0,0,0,36
939000,1951200,939300,1951500,126.8110315,37.55949578,0,1,0,1,2,1,0,28
939000,1951500,939300,1951800,126.8110066,37.56219965,1,0,0,0,0,2,2,4
939000,1951800,939300,1952100,126.8109817,37.56490353,0,0,0,0,0,0,1,10
939000,1952100,939300,1952400,126.8109568,37.5676074,0,0,0,0,0,0,0,35
939000,1952400,939300,1952700,126.8109319,37.57031128,0,0,0,1,0,0,0,42
939000,1952700,939300,1953000,126.810907,37.57301515,0,1,0,0,0,0,0,25
939000,1953000,939300,1953300,126.8108821,37.57571902,0,0,0,0,0,0,1,0
939300,1941600,939600,1941900,126.8152191,37.47299079,0,0,0,0,0,0,0,0
939300,1941900,939600,1942200,126.8151945,37.47569471,0,0,0,0,0,0,0,0
939300,1942200,939600,1942500,126.8151698,37.47839863,0,0,0,0,0,0,0,0
939300,1943700,939600,1944000,126.8150464,37.49191819,0,0,0,0,0,0,0,0
939300,1949400,939600,1949700,126.8145766,37.54329226,0,0,0,0,0,0,0,0
939300,1950300,939600,1950600,126.8145023,37.55140391,0,0,0,0,0,0,0,0
939300,1950600,939600,1950900,126.8144776,37.55410779,1,0,0,0,0,1,0,99
939300,1950900,939600,1951200,126.8144528,37.55681167,0,1,2,0,0,1,0,101
939300,1951200,939600,1951500,126.814428,37.55951555,0,0,0,0,0,0,0,51
939300,1951500,939600,1951800,126.8144032,37.56221943,1,0,0,0,0,1,1,14
939300,1951800,939600,1952100,126.8143785,37.56492331,0,0,0,0,0,0,0,38
939300,1952100,939600,1952400,126.8143537,37.56762718,0,0,0,0,0,0,0,52
939300,1952400,939600,1952700,126.8143289,37.57033106,0,0,0,0,0,0,0,49
939300,1952700,939600,1953000,126.8143041,37.57303493,0,0,0,0,0,0,0,40
939300,1953000,939600,1953300,126.8142793,37.5757388,2,0,0,0,0,1,0,12
939600,1941600,939900,1941900,126.8186117,37.47301041,0,0,0,0,0,0,0,0
939600,1941900,939900,1942200,126.8185872,37.47571433,0,0,0,0,0,0,0,0
939600,1942200,939900,1942500,126.8185626,37.47841824,0,0,0,0,0,0,0,0
939600,1942500,939900,1942800,126.8185381,37.48112216,0,0,0,0,0,0,0,0
939600,1942800,939900,1943100,126.8185135,37.48382608,0,0,0,0,0,0,0,0
939600,1943100,939900,1943400,126.8184889,37.48652999,0,0,0,0,0,0,0,0
939600,1943700,939900,1944000,126.8184398,37.49193782,0,0,0,0,0,0,0,18
939600,1949100,939900,1949400,126.817997,37.54060803,0,0,0,0,0,0,0,0
939600,1949400,939900,1949700,126.8179724,37.54331192,0,0,0,0,0,0,0,0
939600,1949700,939900,1950000,126.8179477,37.54601581,0,0,0,0,0,0,0,0
939600,1950000,939900,1950300,126.8179231,37.54871969,0,0,0,0,0,0,0,0
939600,1950300,939900,1950600,126.8178985,37.55142358,0,0,0,0,0,0,0,0
